,Unnamed: 0,class,Source,Truth
0,0.0,名词误用,在环游世界的旅程中，我们见闻了许多新奇的事物。,在环游世界的旅程中，我们见识了许多新奇的事物。
1,1.0,名词误用,球员满场飞跑，技巧地控制着皮球。,球员满场飞跑，灵活地控制着皮球。
2,2.0,动词误用,交通比较发展的地方，会成为货物的集散地。,交通比较发达的地方，会成为货物的集散地。
3,3.0,动词误用,年青人的身心发展，特别值得家长的重视。,年青人的身心发展，特别值得家长重视。
4,4.0,动词误用,辛亥革命，觉醒了中国人的心声。,辛亥革命，唤醒了中国人的心。
5,5.0,动词误用,在手术室里，护士正忙于协助医生、消毒仪器，以方便进行手术。,在手术室里，护士正忙于协助医生、将仪器消毒，以方便进行手术。
6,6.0,形容词误用,经过数十小时的学习，我已经熟练了基本的驾驶技术。,经过数十小时的学习，我已经掌握了基本的驾驶技术。
7,7.0,形容词误用,同一件货品，在中港两地，价钱悬殊了一大半。,同一件货品，在中港两地，价钱相差了一大半。
8,8.0,形容词误用,连场大雨，在街上走了很短的路，裤管上沾满了泥泞。,连场大雨，在街上走了很短的路，裤管上沾满了泥浆。
9,9.0,主语、谓语搭配不当,两部直升机在空中飞驰。,两部直升机在空中飞翔。
10,10.0,主语、谓语搭配不当,随著经济的发展，人们的生活水平大为改善。,随著经济的发展，人们的生活水平大为提高。
11,11.0,主语、谓语搭配不当,春风一阵阵吹来，树枝摇曳着，月光、树影一起晃动起来，发出沙沙的响声。,春风一阵阵吹来，树枝摇曳着，发出沙沙的响声，连月光、树影也彷彿一起晃动起来。
12,12.0,动词、宾语搭配不当,警方表示有信心扫除软性毒品的祸害和影响。,警方表示有信心扫除软性毒品。
13,13.0,动词、宾语搭配不当,学写诗歌，要注意提炼诗的语言和题材。,学写诗歌，要注意提炼诗的语言和选择题材。
14,14.0,动词、宾语搭配不当,千言万语都表达不了我们对老师的感激的情绪。,千言万语都表达不了我们对老师的感激。
15,15.0,主语残缺,经过这次讲课，对大家的启发很大。,这次讲课，对大家的启发很大。
16,16.0,主语残缺,在通讯事业迅速发展的情况下，可以得到的资讯越来越多。,在通讯事业迅速发展的情况下，我们可以得到的资讯越来越多。
17,17.0,宾语残缺,世界红十字会是致力拯救第三世界国家贫困儿童。,世界红十字会致力拯救第三世界国家贫困儿童。
18,18.0,谓语残缺,为了达到目的，不惜任何手段。,为了达到目的，不惜采取任何手段。
19,19.0,谓语残缺,地铁载客量高，而且比其他交通工具更准时抵达目的地的优点。,地铁载客量高，而且比其他交通工具更准时抵达目的地。
20,20.0,状语残缺,在我遇到困难，他总是想办法帮助我解决。,在我遇到困难时，他总是想办法帮助我解决。
21,21.0,状语残缺,学校开办各种暑期活动，有朗诵、绘画、书法、烹饪等兴趣小组，举行了学艺比赛。,学校开办各种暑期活动，有朗诵、绘画、书法、烹饪等兴趣小组，分别举行了学艺比赛。
22,22.0,定语成分多余,我们走过笔直而又漫长的直路，来到目的地。,我们走过笔直而又漫长的路，来到目的地。
23,23.0,定语成分多余,中国语言和任何西方语言不同。,中国语言和西方语言不同。
24,24.0,状语成分多余,他忽然大声地高叫起来。,他忽然高叫起来。
25,25.0,状语成分多余,漫山遍野到处都是逃难的人。,漫山遍野都是逃难的人。
26,26.0,语序不当,成熟的苹果落地，是由于它对地球引力的作用。,成熟的苹果落地，是由于地球引力对它的作用。
27,27.0,语序不当,我们如果把这本书不认真读好，就谈不到读别的书了。,我们如果不把这本书认真读好，就谈不到读别的书了。
28,28.0,语序不当,这个问题在群众中广泛引起了议论。,这个问题在群众中引起了广泛议论。
29,29.0,语序不当,巴甫洛夫整天忙于做条件反射的实验，他总是把动物用绳子缚在实验室的架子上。,巴甫洛夫整天忙于做条件反射的实验，他总是用绳子把动物缚在实验室的架子上。
30,30.0,语序不当,当时，许峰正在住院，听到有险情，带病走出医院，不顾医生的阻拦，投入到抗洪救灾工作中去。,当时，许峰正在住院，听到有险情，不顾医生的阻拦，带病走出医院，投入到抗洪救灾工作中去。
31,31.0,结构混乱,这办法既卫生，又方便，深受群众所喜爱。,这办法既卫生，又方便，深受群众喜爱。
32,32.0,结构混乱,我们要下决心，花大力气，争取在本世纪把我国的教育事业达到先进水平。,我们要下决心，花大力气，争取在本世纪使我国的教育事业达到先进水平。
33,33.0,结构混乱,其实，胡适先生英文文章也写了不少，连同这一百几十件信礼，都应该收集成书，供中外学者阅读之便。,其实，胡适先生英文文章也写了不少，连同这一百几十件信礼，都应该收集成书，以便中外学者阅读
34,34.0,结构混乱,当然，要搞好跨学科渗透和综合，并非易事，需要下一番功夫不可。,当然，要搞好跨学科渗透和综合，并非易事，非下一番功夫不可。
35,35.0,结构混乱,这届全运会会徽、吉祥物设计的应征者大多是以青年师生为主。,这届全运会会徽、吉祥物设计的应征者以青年师生为主。
36,36.0,中文学习者,"住了在哈尔滨,黑龙江哈尔滨,太冷!","住在哈尔滨,黑龙江哈尔滨,太冷了!"
37,37.0,中文学习者,他做梦的时候他是一个太空人了。,他做梦梦到他是一个太空人。
38,38.0,中文学习者,而走在回家，开始下雨！,而且我们回家的路上开始下雨了！
39,39.0,中文学习者,决定了是因为我住在美国的中部分（所以说汉语的不多啦）。,因为我住在美国的中部（所以汉语说的不多啦）。
40,40.0,中文学习者,她没教我这个星期一样。,她不能像这个星期一样教我。
41,41.0,中文学习者,考虑这样的信息我不知道任何年轻人可以买房子。,看到这样的信息我不知道哪些年轻人可以买房子。
42,42.0,中文学习者,听说那是中国的《水浒传》影响很大。,听说那是受中国的《水浒传》影响很大。
43,,中文学习者,不过一日我20点左右到了桃园机场。,不过第一天我20点左右才到桃园机场。
44,,中文学习者,可有时侯使我们感到好不有意思.,可有时侯使我们感到好不有意思。
45,,中文学习者,而且，公司的用地内有条樱树。,而且，公司的用地内有棵樱树。
46,,中文学习者,并且听在中国的儿子生活样子的活是惊恐连续,并且听了在中国生活的儿子的话我是惊恐连连。
47,,中文学习者,睡了三个小时后终于才醒了，还很困，还很累。,睡了三个小时后才醒，还是很困，很累。
48,,中文学习者,我听懂老师讲的话，看懂内容，但是口语很差。,我听得懂老师讲的话，看得懂内容，但是口语很差。
49,,中文学习者,当那时候，我决定应该上话语课，想有一天能用话语根我的朋友交通。,那时候，我决定应该上汉语课，希望有一天能用汉语跟我的朋友沟通。
50,,中文学习者,我使用书的时候（读、学习等等），用小心维持漂亮的状态，要是我早晚不需要的时候，我让给需要那本书的人我的书，把那本书再活用。,我使用书阅读、学习的时候，会小心保持它崭新的状态，如果我不需要这本书的时候，我会让给需要那本书的人用我的书，这样，这本书会被更广泛的使用。
51,,中文学习者,景况是非常坏，但是燃料附加运费是低廉从四月。,情况非常坏，但是燃料附加运费从四月开始变得低廉。
52,,中文学习者,就像李白他是酒杯的饮中八仙。,就像李白一样，他也是酒中八仙之一。
53,,中文学习者,老家从来给我的安全感会完全泯灭。,老房子一直以来给我的安全感会完全消失。
54,,中文学习者,现在她在日本和中国和台湾常常表演音乐。,现在她常常在日本和中国及中国台湾表演音乐。
55,,中文学习者,好像他们考察我们的集中力。,好像他们考察我们的注意力。
56,,中文学习者,我看见了那个女学生准备关于旅行等的几个句子，这个句子没有很大的错误。,我看见那个女学生准备了几个关于旅行的句子，这些句子没有很大的错误。
57,,中文学习者,而且，虽然我的日本朋友说错的声调，我可以听得懂，至少可以预测他想说什么，而中国人真不知道他说什么．很奇怪．！,而且，虽然我的日本朋友说了错的声调，但我可以听得懂，至少可以预测他想说什么，而对于中国人我真不知道他说什么，很奇怪！
58,,中文学习者,虽然她正在体会严峻的考验，有时碰到很难解决的事情，可是用乐观的想法来闯出一条新路子，真令人佩服呢。,虽然她正在经历严峻的考验，有时也会碰到很难解决的事情，可是她用乐观的心态来闯出一条新路子，真令人佩服呢。
59,,中文学习者,上周五在上海歌城有了公司的圣诞&amp;忘年会。,上周五在上海歌城有公司的圣诞&忘年会。
60,,中文学习者,我开始中文课的时候，我曾经认为中国歌没什么意思的东西。,我开始上中文课的时候，我曾经认为中文歌是没什么意思的东西。
61,,中文学习者,上班的时候，我看了一个燕子。,上班的时候，我看见了一只燕子。
62,,中文学习者,比如说我可以介绍以下怎么用一些英语的俚语。,比如说我可以介绍一下如何使用一些英语的俚语。
