,class,Source,Truth,classifed (Truth)(char base),classifed (Truth)(word base),BART (Truth)(char base),BART (Truth)(word base)
0,名词误用,在环游世界的旅程中，我们见闻了许多新奇的事物。,在环游世界的旅程中，我们见识了许多新奇的事物。,"[([('闻', 'v')], '->', [('识', 'v')])]","[([('见闻', 'n')], '->', [('见识', 'n')])]",,
1,名词误用,球员满场飞跑，技巧地控制着皮球。,球员满场飞跑，灵活地控制着皮球。,"[([('技巧', 'n')], '->', [('灵活', 'a')])]","[([('技巧', 'n')], '->', [('灵活', 'a')])]",,
2,动词误用,交通比较发展的地方，会成为货物的集散地。,交通比较发达的地方，会成为货物的集散地。,"[([('展', 'n')], '->', [('达', 'v')])]","[([('发展', 'vn')], '->', [('比较', 'd'), ('发达', 'a')])]","[([('展', 'n')], '->', [('达', 'v')])]","[([('展', 'n')], '->', [('达', 'v')])]"
3,动词误用,年青人的身心发展，特别值得家长的重视。,年青人的身心发展，特别值得家长重视。,"[('-', [('的', 'u')])]","[('-', [('的', 'u')])]",,
4,动词误用,辛亥革命，觉醒了中国人的心声。,辛亥革命，唤醒了中国人的心。,"[([('觉', 'v')], '->', [('唤', 'v')]), ('-', [('声', 'n')])]","[([('觉醒', 'v')], '->', [('唤醒', 'v')]), ('-', [('心声', 'n')])]","[([('觉', 'v')], '->', [('唤', 'v')])]","[([('觉', 'v')], '->', [('唤', 'v')])]"
5,动词误用,在手术室里，护士正忙于协助医生、消毒仪器，以方便进行手术。,在手术室里，护士正忙于协助医生、将仪器消毒，以方便进行手术。,"[('+', [('将', 'p'), ('仪器', 'n')]), ('-', [('仪器', 'n')])]","[('+', [('将', 'p')]), ('-', [('仪器', 'n')])]",,
6,形容词误用,经过数十小时的学习，我已经熟练了基本的驾驶技术。,经过数十小时的学习，我已经掌握了基本的驾驶技术。,"[([('熟练', 'a')], '->', [('掌握', 'v')])]","[([('熟练', 'a')], '->', [('掌握', 'v')])]","[('+', [('掌握', 'v')])]","[('+', [('掌握', 'v')])]"
7,形容词误用,同一件货品，在中港两地，价钱悬殊了一大半。,同一件货品，在中港两地，价钱相差了一大半。,"[([('悬殊', 'a')], '->', [('相差', 'v')])]","[([('悬殊', 'a')], '->', [('相差', 'v')])]",,
8,形容词误用,连场大雨，在街上走了很短的路，裤管上沾满了泥泞。,连场大雨，在街上走了很短的路，裤管上沾满了泥浆。,"[([('泞', 'n')], '->', [('浆', 'n')])]","[([('泥泞', 'n')], '->', [('泥浆', 'n')])]","[('+', [('我', 'r')])]","[('+', [('我', 'r')])]"
9,主语、谓语搭配不当,两部直升机在空中飞驰。,两部直升机在空中飞翔。,"[([('驰', 'v')], '->', [('翔', 'PER')])]","[([('飞驰', 'v')], '->', [('飞翔', 'v')])]","[([('部', 'n')], '->', [('架', 'n')])]","[([('部', 'n')], '->', [('架', 'n')])]"
10,主语、谓语搭配不当,随著经济的发展，人们的生活水平大为改善。,随著经济的发展，人们的生活水平大为提高。,"[([('改善', 'v')], '->', [('提高', 'v')])]","[([('改善', 'v')], '->', [('提高', 'v')])]","[([('著', 'u')], '->', [('着', 'u')])]","[([('著', 'u')], '->', [('着', 'u')])]"
11,主语、谓语搭配不当,春风一阵阵吹来，树枝摇曳着，月光、树影一起晃动起来，发出沙沙的响声。,春风一阵阵吹来，树枝摇曳着，发出沙沙的响声，连月光、树影也彷彿一起晃动起来。,"[('-', [('月光', 'n'), ('、', 'w'), ('树影', 'n'), ('一起', 'd'), ('晃动', 'v'), ('起来', 'v'), ('，', 'w')]), ('+', [('，', 'w'), ('连', 'd'), ('月光', 'n'), ('、', 'w'), ('树影', 'n'), ('也', 'd'), ('彷彿', 'd'), ('一起', 'd'), ('晃动', 'v'), ('起来', 'v')])]","[('-', [('月光', 'n')]), ('+', [('，', 'w')])]",,
12,动词、宾语搭配不当,警方表示有信心扫除软性毒品的祸害和影响。,警方表示有信心扫除软性毒品。,"[('-', [('的', 'u'), ('祸害', 'n'), ('和', 'c'), ('影响', 'vn')])]","[('-', [('的', 'u')])]","[([('祸', 'n')], '->', [('危', 'n')])]","[([('祸', 'n')], '->', [('危', 'n')])]"
13,动词、宾语搭配不当,学写诗歌，要注意提炼诗的语言和题材。,学写诗歌，要注意提炼诗的语言和选择题材。,"[('+', [('选择', 'v')])]","[('+', [('选择', 'v')])]",,
14,动词、宾语搭配不当,千言万语都表达不了我们对老师的感激的情绪。,千言万语都表达不了我们对老师的感激。,"[('-', [('的', 'u'), ('情绪', 'n')])]","[('-', [('的', 'u')])]","[([('的', 'u')], '->', [('之', 'r')]), ('-', [('绪', 'n')])]","[([('的', 'u')], '->', [('之', 'r')]), ('-', [('绪', 'n')])]"
15,主语残缺,经过这次讲课，对大家的启发很大。,这次讲课，对大家的启发很大。,"[('-', [('经过', 'p')])]","[('-', [('经过', 'p')])]",,
16,主语残缺,在通讯事业迅速发展的情况下，可以得到的资讯越来越多。,在通讯事业迅速发展的情况下，我们可以得到的资讯越来越多。,"[('+', [('我们', 'r')])]","[('+', [('我们', 'r')])]",,
17,宾语残缺,世界红十字会是致力拯救第三世界国家贫困儿童。,世界红十字会致力拯救第三世界国家贫困儿童。,"[('-', [('是', 'v')])]","[('-', [('是', 'v')])]","[('-', [('是', 'v')]), ('+', [('于', 'p')])]","[('-', [('是', 'v')]), ('+', [('于', 'p')])]"
18,谓语残缺,为了达到目的，不惜任何手段。,为了达到目的，不惜采取任何手段。,"[('+', [('采取', 'v')])]","[('+', [('采取', 'v'), ('任何', 'r')])]",,
19,谓语残缺,地铁载客量高，而且比其他交通工具更准时抵达目的地的优点。,地铁载客量高，而且比其他交通工具更准时抵达目的地。,"[('-', [('的', 'u'), ('优点', 'n')])]","[('-', [('的', 'u')])]","[('+', [('有', 'v')])]","[('+', [('有', 'v')])]"
20,状语残缺,在我遇到困难，他总是想办法帮助我解决。,在我遇到困难时，他总是想办法帮助我解决。,"[('+', [('时', 'n')])]","[('+', [('时', 'n')])]","[('+', [('时', 'n')])]","[('+', [('时', 'n')])]"
21,状语残缺,学校开办各种暑期活动，有朗诵、绘画、书法、烹饪等兴趣小组，举行了学艺比赛。,学校开办各种暑期活动，有朗诵、绘画、书法、烹饪等兴趣小组，分别举行了学艺比赛。,"[('+', [('分别', 'd')])]","[('+', [('分别', 'd')])]","[('+', [('了', 'xc')])]","[('+', [('了', 'xc')])]"
22,定语成分多余,我们走过笔直而又漫长的直路，来到目的地。,我们走过笔直而又漫长的路，来到目的地。,"[('-', [('直', 'd')])]","[('-', [('直路', 'v')])]",,
23,定语成分多余,中国语言和任何西方语言不同。,中国语言和西方语言不同。,"[('-', [('任何', 'r')])]","[('-', [('任何', 'r')])]","[('+', [('都', 'd')])]","[('+', [('都', 'd')])]"
24,状语成分多余,他忽然大声地高叫起来。,他忽然高叫起来。,"[('-', [('大声', 'n'), ('地', 'u')])]","[('-', [('大声', 'n')])]",,
25,状语成分多余,漫山遍野到处都是逃难的人。,漫山遍野都是逃难的人。,"[('-', [('到处', 'd')])]","[('-', [('到处', 'd')])]",,
26,语序不当,成熟的苹果落地，是由于它对地球引力的作用。,成熟的苹果落地，是由于地球引力对它的作用。,"[('-', [('它', 'r'), ('对', 'p')]), ('+', [('对', 'p'), ('它', 'r')])]","[('-', [('它', 'r')]), ('+', [('对', 'p')])]","[([('由于', 'p')], '->', [('因为', 'c')])]","[([('由于', 'p')], '->', [('因为', 'c')])]"
27,语序不当,我们如果把这本书不认真读好，就谈不到读别的书了。,我们如果不把这本书认真读好，就谈不到读别的书了。,"[('+', [('不', 'd')]), ('-', [('不', 'd')])]","[('+', [('不', 'd')]), ('-', [('不', 'd')])]",,
28,语序不当,这个问题在群众中广泛引起了议论。,这个问题在群众中引起了广泛议论。,"[('-', [('广泛', 'a')]), ('+', [('广泛', 'a')])]","[('-', [('广泛', 'a')]), ('+', [('广泛', 'a')])]",,
29,语序不当,巴甫洛夫整天忙于做条件反射的实验，他总是把动物用绳子缚在实验室的架子上。,巴甫洛夫整天忙于做条件反射的实验，他总是用绳子把动物缚在实验室的架子上。,"[('+', [('用', 'p'), ('绳子', 'n')]), ('-', [('用', 'p'), ('绳子', 'n')])]","[('+', [('用', 'p')]), ('-', [('用', 'p')])]",,
30,语序不当,当时，许峰正在住院，听到有险情，带病走出医院，不顾医生的阻拦，投入到抗洪救灾工作中去。,当时，许峰正在住院，听到有险情，不顾医生的阻拦，带病走出医院，投入到抗洪救灾工作中去。,"[('-', [('带病', 'vd'), ('走出', 'v'), ('医院', 'n'), ('，', 'w')]), ('+', [('，', 'w'), ('带病', 'vd'), ('走出', 'v'), ('医院', 'n')])]","[('-', [('带病', 'v')]), ('+', [('，', 'w')])]",,
31,结构混乱,这办法既卫生，又方便，深受群众所喜爱。,这办法既卫生，又方便，深受群众喜爱。,"[('-', [('所', 'c')])]","[('-', [('所', 'c')])]",,
32,结构混乱,我们要下决心，花大力气，争取在本世纪把我国的教育事业达到先进水平。,我们要下决心，花大力气，争取在本世纪使我国的教育事业达到先进水平。,"[([('把', 'p')], '->', [('使', 'v')])]","[([('把', 'p')], '->', [('使', 'v')])]",,
33,结构混乱,其实，胡适先生英文文章也写了不少，连同这一百几十件信礼，都应该收集成书，供中外学者阅读之便。,其实，胡适先生英文文章也写了不少，连同这一百几十件信礼，都应该收集成书，以便中外学者阅读,"[([('供', 'v')], '->', [('以便', 'd')]), ('-', [('之', 'u'), ('便', 'n'), ('。', 'w')])]","[([('供', 'v')], '->', [('以便', 'd')]), ('-', [('之', 'r')])]","[([('礼', 'n')], '->', [('件', 'q')]), ('-', [('之', 'u'), ('便', 'n')])]","[([('礼', 'n')], '->', [('件', 'q')]), ('-', [('之', 'u'), ('便', 'n')])]"
34,结构混乱,当然，要搞好跨学科渗透和综合，并非易事，需要下一番功夫不可。,当然，要搞好跨学科渗透和综合，并非易事，非下一番功夫不可。,"[([('需要', 'v')], '->', [('非', 'n')])]","[([('需要', 'v')], '->', [('非', 'n')])]","[('-', [('不可', 'v')])]","[('-', [('不可', 'v')])]"
35,结构混乱,这届全运会会徽、吉祥物设计的应征者大多是以青年师生为主。,这届全运会会徽、吉祥物设计的应征者以青年师生为主。,"[('-', [('大多', 'd'), ('是', 'v')])]","[('-', [('大多', 'd')])]",,
36,中文学习者,"住了在哈尔滨,黑龙江哈尔滨,太冷!","住在哈尔滨,黑龙江哈尔滨,太冷了!","[('-', [('了', 'xc')]), ('+', [('了', 'xc')])]","[('-', [('了', 'xc')]), ('+', [('了', 'xc')])]","[('-', [('了', 'xc')]), ('+', [('了', 'xc')])]","[('-', [('了', 'xc')]), ('+', [('了', 'xc')])]"
37,中文学习者,他做梦的时候他是一个太空人了。,他做梦梦到他是一个太空人。,"[([('的', 'u'), ('时候', 'n')], '->', [('梦到', 'v')]), ('-', [('了', 'xc')])]","[([('的', 'u')], '->', [('梦到', 'v')]), ('-', [('了', 'xc')])]","[('-', [('了', 'xc')])]","[('-', [('了', 'xc')])]"
38,中文学习者,而走在回家，开始下雨！,而且我们回家的路上开始下雨了！,"[([('走', 'v'), ('在', 'p')], '->', [('且', 'c'), ('我们', 'r')]), ([('，', 'w')], '->', [('的', 'u'), ('路上', 's')]), ('+', [('了', 'xc')])]","[([('走', 'v')], '->', [('而且', 'c')]), ([('，', 'w')], '->', [('的', 'u')]), ('+', [('了', 'xc')])]","[('-', [('而', 'c')]), ('+', [('的', 'u'), ('路上', 's')])]","[('-', [('而', 'c')]), ('+', [('的', 'u'), ('路上', 's')])]"
39,中文学习者,决定了是因为我住在美国的中部分（所以说汉语的不多啦）。,因为我住在美国的中部（所以汉语说的不多啦）。,"[('-', [('决定', 'v'), ('了', 'u'), ('是', 'v')]), ('-', [('分', 'v')]), ('-', [('说', 'v')]), ('+', [('说', 'v')])]","[('-', [('决定', 'v')]), ('-', [('部分', 'n')]), ('-', [('说', 'v')]), ('+', [('说', 'v')])]","[('-', [('分', 'v')])]","[('-', [('分', 'v')])]"
40,中文学习者,她没教我这个星期一样。,她不能像这个星期一样教我。,"[([('没', 'v'), ('教', 'v'), ('我', 'r')], '->', [('不能', 'v'), ('像', 'v')]), ('+', [('教', 'v'), ('我', 'r')])]","[([('没', 'v'), ('教', 'n')], '->', [('不能', 'v')]), ('+', [('教', 'n')])]","[('-', [('没', 'v'), ('教', 'v'), ('我', 'r')]), ([('一样', 'a')], '->', [('没', 'v'), ('教', 'v'), ('我', 'r')])]","[('-', [('没', 'v'), ('教', 'v'), ('我', 'r')]), ([('一样', 'a')], '->', [('没', 'v'), ('教', 'v'), ('我', 'r')])]"
41,中文学习者,考虑这样的信息我不知道任何年轻人可以买房子。,看到这样的信息我不知道哪些年轻人可以买房子。,"[([('考虑', 'v')], '->', [('看到', 'v')]), ([('任何', 'r')], '->', [('哪些', 'r')])]","[([('考虑', 'v')], '->', [('看到', 'v')]), ([('任何', 'r')], '->', [('哪些', 'r')])]","[('+', [('到', 'v')]), ('+', [('都', 'd')])]","[('+', [('到', 'v')]), ('+', [('都', 'd')])]"
42,中文学习者,听说那是中国的《水浒传》影响很大。,听说那是受中国的《水浒传》影响很大。,"[('+', [('受', 'v')])]","[('+', [('受', 'v')])]","[([('那', 'r'), ('是', 'v')], '->', [('受', 'v')])]","[([('那', 'r'), ('是', 'v')], '->', [('受', 'v')])]"
43,中文学习者,不过一日我20点左右到了桃园机场。,不过第一天我20点左右才到桃园机场。,"[('+', [('第', 'm')]), ([('日', 'n')], '->', [('天', 'n')]), ('+', [('才', 'd')]), ('-', [('了', 'xc')])]","[('+', [('第一天', 'TIME')]), ([('一日', 'TIME')], '->', [('第一天', 'TIME')]), ('+', [('才', 'd')]), ('-', [('了', 'xc')])]","[([('一日', 'TIME')], '->', [('第二天', 'TIME')])]","[([('一日', 'TIME')], '->', [('第二天', 'TIME')])]"
44,中文学习者,可有时侯使我们感到好不有意思.,可有时侯使我们感到好不有意思。,"[([('.', 'w')], '->', [('。', 'w')])]","[([('.', 'w')], '->', [('。', 'w')])]","[([('.', 'w')], '->', [('。', 'w')])]","[([('.', 'w')], '->', [('。', 'w')])]"
45,中文学习者,而且，公司的用地内有条樱树。,而且，公司的用地内有棵樱树。,"[([('条', 'n')], '->', [('棵', 'q')])]","[([('条樱树', 'PER')], '->', [('棵', 'q')])]","[([('条', 'n')], '->', [('棵', 'q')])]","[([('条', 'n')], '->', [('棵', 'q')])]"
46,中文学习者,并且听在中国的儿子生活样子的活是惊恐连续,并且听了在中国生活的儿子的话我是惊恐连连。,"[('+', [('了', 'xc')]), ('+', [('生活', 'n')]), ('-', [('生活', 'n'), ('样子', 'n')]), ([('活', 'n')], '->', [('话', 'n'), ('我', 'r')]), ([('续', 'v')], '->', [('连', 'd'), ('。', 'w')])]","[('+', [('了', 'xc')]), ('+', [('生活', 'n')]), ('-', [('生活', 'n')]), ([('活', 'n'), ('是', 'v')], '->', [('的', 'u'), ('话', 'n')]), ([('连续', 'a')], '->', [('连连', 'd')])]","[([('活', 'n')], '->', [('话', 'n')])]","[([('活', 'n')], '->', [('话', 'n')])]"
47,中文学习者,睡了三个小时后终于才醒了，还很困，还很累。,睡了三个小时后才醒，还是很困，很累。,"[('-', [('终于', 'd')]), ('-', [('了', 'xc')]), ('+', [('是', 'v')]), ('-', [('还', 'd')])]","[('-', [('终于', 'd')]), ('-', [('了', 'xc')]), ('+', [('还是', 'd')]), ('-', [('还', 'd')])]","[('-', [('才', 'd')])]","[('-', [('才', 'd')])]"
48,中文学习者,我听懂老师讲的话，看懂内容，但是口语很差。,我听得懂老师讲的话，看得懂内容，但是口语很差。,"[('+', [('得', 'v')]), ('+', [('得', 'v')])]","[('+', [('听得', 'v'), ('懂', 'vn')]), ('+', [('看', 'v'), ('得', 'u'), ('懂', 'v')])]","[('+', [('能', 'v')])]","[('+', [('能', 'v')])]"
49,中文学习者,当那时候，我决定应该上话语课，想有一天能用话语根我的朋友交通。,那时候，我决定应该上汉语课，希望有一天能用汉语跟我的朋友沟通。,"[('-', [('当', 'p')]), ([('话', 'n')], '->', [('汉', 'n')]), ([('想', 'v')], '->', [('希望', 'v')]), ([('话', 'n')], '->', [('汉', 'n')]), ([('根', 'n')], '->', [('跟', 'p')]), ([('交', 'v')], '->', [('沟', 'n')])]","[('-', [('当', 'p')]), ([('话语', 'n')], '->', [('汉语', 'nz')]), ([('想', 'v')], '->', [('希望', 'v')]), ([('话语', 'n')], '->', [('汉语', 'nz')]), ([('根', 'n')], '->', [('跟', 'p')]), ([('交通', 'n')], '->', [('沟通', 'vn')])]","[([('根', 'n')], '->', [('跟', 'p')]), ([('通', 'p')], '->', [('流', 'v')])]","[([('根', 'n')], '->', [('跟', 'p')]), ([('通', 'p')], '->', [('流', 'v')])]"
50,中文学习者,我使用书的时候（读、学习等等），用小心维持漂亮的状态，要是我早晚不需要的时候，我让给需要那本书的人我的书，把那本书再活用。,我使用书阅读、学习的时候，会小心保持它崭新的状态，如果我不需要这本书的时候，我会让给需要那本书的人用我的书，这样，这本书会被更广泛的使用。,"[([('的', 'u'), ('时候', 'n'), ('（', 'w')], '->', [('阅', 'vn')]), ([('等等', 'v'), ('）', 'w')], '->', [('的', 'u'), ('时候', 'n')]), ([('用', 'p')], '->', [('会', 'v')]), ([('维', 'n')], '->', [('保', 'v')]), ([('漂亮', 'a')], '->', [('它', 'r'), ('崭新', 'a')]), ([('要', 'c'), ('是', 'c')], '->', [('如果', 'c')]), ('-', [('早晚', 'TIME')]), ('+', [('这本书', 'r')]), ('+', [('会', 'v')]), ('+', [('用', 'p')]), ([('把', 'p'), ('那', 'r')], '->', [('这样', 'r'), ('，', 'w'), ('这', 'r')]), ([('再', 'd'), ('活', 'v')], '->', [('会', 'v'), ('被', 'p'), ('更广泛', 'a'), ('的', 'u'), ('使', 'n')])]","[([('的', 'u')], '->', [('阅读', 'vn')]), ([('等等', 'v')], '->', [('的', 'u')]), ([('用', 'p')], '->', [('会', 'v')]), ([('维持', 'v')], '->', [('保持', 'v')]), ([('漂亮', 'a')], '->', [('它', 'r')]), ([('要', 'c'), ('是', 'c')], '->', [('如果', 'c')]), ('-', [('早晚', 'TIME')]), ('+', [('这', 'r')]), ('+', [('我', 'r'), ('会', 'v')]), ('+', [('人', 'n'), ('用', 'v')]), ([('把', 'p')], '->', [('这样', 'r')]), ([('再', 'd')], '->', [('会', 'v')])]",,
51,中文学习者,景况是非常坏，但是燃料附加运费是低廉从四月。,情况非常坏，但是燃料附加运费从四月开始变得低廉。,"[([('景', 'n')], '->', [('情', 'n')]), ('-', [('是', 'v')]), ('-', [('是', 'v'), ('低廉', 'a')]), ('+', [('开始', 'v'), ('变得', 'v'), ('低廉', 'a')])]","[([('景况', 'n')], '->', [('情况', 'n')]), ('-', [('是', 'v')]), ('-', [('是', 'v')]), ('+', [('开始', 'v')])]","[([('景', 'n')], '->', [('情', 'n')]), ('+', [('从', 'p'), ('四月', 'TIME'), ('开始', 'v')]), ([('从', 'p'), ('四月', 'TIME')], '->', [('的', 'u')])]","[([('景', 'n')], '->', [('情', 'n')]), ('+', [('从', 'p'), ('四月', 'TIME'), ('开始', 'v')]), ([('从', 'p'), ('四月', 'TIME')], '->', [('的', 'u')])]"
52,中文学习者,就像李白他是酒杯的饮中八仙。,就像李白一样，他也是酒中八仙之一。,"[('+', [('一样', 'a'), ('，', 'w')]), ('+', [('也', 'd')]), ('-', [('杯', 'n'), ('的', 'u'), ('饮', 'vn')]), ('+', [('之', 'u'), ('一', 'm')])]","[('+', [('一样', 'a')]), ('+', [('也', 'd')]), ('-', [('酒杯', 'n')]), ('+', [('之', 'u'), ('一', 'm')])]","[('+', [('里', 'f')])]","[('+', [('里', 'f')])]"
53,中文学习者,老家从来给我的安全感会完全泯灭。,老房子一直以来给我的安全感会完全消失。,"[([('家', 'n'), ('从', 'p')], '->', [('房子', 'n'), ('一直', 'd'), ('以', 'p')]), ([('泯灭', 'v')], '->', [('消失', 'v')])]","[([('老家', 'n')], '->', [('老房子', 'n')]), ([('泯灭', 'v')], '->', [('消失', 'v')])]","[([('泯灭', 'v')], '->', [('消失', 'v')])]","[([('泯灭', 'v')], '->', [('消失', 'v')])]"
54,中文学习者,现在她在日本和中国和台湾常常表演音乐。,现在她常常在日本和中国及中国台湾表演音乐。,"[('+', [('常常', 'd')]), ([('和', 'p')], '->', [('及', 'c'), ('中国', 'LOC')]), ('-', [('常常', 'd')])]","[('+', [('常常', 'd')]), ([('和', 'p')], '->', [('及', 'c')]), ('-', [('常常', 'd')])]","[([('和', 'p')], '->', [('、', 'w')])]","[([('和', 'p')], '->', [('、', 'w')])]"
55,中文学习者,好像他们考察我们的集中力。,好像他们考察我们的注意力。,"[([('集中', 'v')], '->', [('注意', 'v')])]","[([('集中', 'v'), ('力', 'v')], '->', [('注意力', 'n')])]","[('+', [('在', 'p')])]","[('+', [('在', 'p')])]"
56,中文学习者,我看见了那个女学生准备关于旅行等的几个句子，这个句子没有很大的错误。,我看见那个女学生准备了几个关于旅行的句子，这些句子没有很大的错误。,"[('-', [('了', 'xc')]), ('+', [('了', 'u'), ('几个', 'm')]), ('-', [('等', 'v')]), ('-', [('几个', 'm')]), ([('个', 'q')], '->', [('些', 'm')])]","[('-', [('了', 'xc')]), ('+', [('了', 'xc')]), ('-', [('等', 'v')]), ('-', [('几个', 'm')]), ([('这个', 'r')], '->', [('这些', 'r')])]","[('+', [('了', 'u'), ('几个', 'm')]), ('-', [('几个', 'm')])]","[('+', [('了', 'u'), ('几个', 'm')]), ('-', [('几个', 'm')])]"
57,中文学习者,而且，虽然我的日本朋友说错的声调，我可以听得懂，至少可以预测他想说什么，而中国人真不知道他说什么．很奇怪．！,而且，虽然我的日本朋友说了错的声调，但我可以听得懂，至少可以预测他想说什么，而对于中国人我真不知道他说什么，很奇怪！,"[('+', [('了', 'xc')]), ('+', [('但', 'c')]), ('+', [('对于', 'p')]), ('+', [('我', 'r')]), ([('．', 'w')], '->', [('，', 'w')]), ('-', [('．', 'w')])]","[('+', [('了', 'xc')]), ('+', [('但', 'c')]), ('+', [('对于', 'p')]), ('+', [('我', 'r')]), ([('．', 'w')], '->', [('，', 'w')]), ('-', [('．', 'w')])]","[([('的', 'u')], '->', [('了', 'xc')])]","[([('的', 'u')], '->', [('了', 'xc')])]"
58,中文学习者,虽然她正在体会严峻的考验，有时碰到很难解决的事情，可是用乐观的想法来闯出一条新路子，真令人佩服呢。,虽然她正在经历严峻的考验，有时也会碰到很难解决的事情，可是她用乐观的心态来闯出一条新路子，真令人佩服呢。,"[([('体会', 'v')], '->', [('经历', 'n')]), ('+', [('也', 'd'), ('会', 'v')]), ('+', [('她', 'r')]), ([('想法', 'n')], '->', [('心态', 'n')])]","[([('体会', 'v')], '->', [('经历', 'n')]), ('+', [('也', 'd')]), ('+', [('她', 'r')]), ([('想法', 'n')], '->', [('心态', 'n')])]","[([('体会', 'v')], '->', [('经历', 'n')])]","[([('体会', 'v')], '->', [('经历', 'n')])]"
59,中文学习者,上周五在上海歌城有了公司的圣诞&amp;忘年会。,上周五在上海歌城有公司的圣诞&忘年会。,"[('-', [('了', 'xc')]), ('-', [('amp', 'nz'), (';', 'w')])]","[('-', [('了', 'xc')]), ('-', [('amp', 'nz')])]","[('-', [('了', 'xc')])]","[('-', [('了', 'xc')])]"
60,中文学习者,我开始中文课的时候，我曾经认为中国歌没什么意思的东西。,我开始上中文课的时候，我曾经认为中文歌是没什么意思的东西。,"[('+', [('上', 'v')]), ([('国', 'n')], '->', [('文', 'n')]), ('+', [('是', 'v')])]","[('+', [('上', 'v')]), ([('中国', 'LOC')], '->', [('中文', 'nz')]), ('+', [('歌', 'n'), ('是', 'v')])]","[('+', [('上', 'v')]), ('-', [('的', 'u'), ('东西', 'n')])]","[('+', [('上', 'v')]), ('-', [('的', 'u'), ('东西', 'n')])]"
61,中文学习者,上班的时候，我看了一个燕子。,上班的时候，我看见了一只燕子。,"[('+', [('见', 'v')]), ([('个', 'q')], '->', [('只', 'd')])]","[('+', [('看见', 'v')]), ([('一个', 'm')], '->', [('一只', 'm')])]","[('+', [('到', 'v')]), ([('个', 'q')], '->', [('只', 'd')])]","[('+', [('到', 'v')]), ([('个', 'q')], '->', [('只', 'd')])]"
62,中文学习者,比如说我可以介绍以下怎么用一些英语的俚语。,比如说我可以介绍一下如何使用一些英语的俚语。,"[([('以', 'c')], '->', [('一', 'm')]), ([('怎么', 'r')], '->', [('如何', 'r'), ('使', 'v')])]","[([('以下', 'f')], '->', [('一下', 'm')]), ([('怎么', 'r')], '->', [('如何', 'r')])]","[('-', [('以下', 'f'), ('怎么', 'r'), ('用', 'v')])]","[('-', [('以下', 'f'), ('怎么', 'r'), ('用', 'v')])]"
